transactionID,dateTime,customerID,productID,categoryID,storeID,salesPersonID,productValue
438809,1970-07-06 15:31:00,,1989.0,75.0,1,Unknown,17.0
439825,1970-02-23 13:41:00,,1013.0,110.0,7,Unknown,5.0
440031,1970-02-10 14:24:00,,5408.0,140.0,20,Unknown,6.5
443217,1970-07-08 18:33:00,,3281.0,71.0,5,Unknown,4.5
443217,1970-07-08 18:33:00,,1629.0,71.0,5,Unknown,2.0
443403,1972-12-11 16:47:00,,6428.0,71.0,30,14.0,6.0
454303,1970-06-21 11:16:00,,3769.0,148.0,14,Unknown,5.0
454303,1970-06-21 11:16:00,,942.0,110.0,14,Unknown,5.0
454568,1970-12-15 11:12:00,,6988.0,110.0,7,5.0,7.5
455548,1970-12-05 16:56:00,,3282.0,71.0,21,40.0,7.0
455548,1970-12-05 16:56:00,,944.0,110.0,21,40.0,7.5
455548,1970-12-05 16:56:00,,5896.0,44.0,21,40.0,1.0
465515,1970-03-05 15:52:00,,3000.0,71.0,33,132.0,14.5
469908,1970-08-25 14:21:00,,5023.0,28.0,23,Unknown,5.5
469924,1970-08-26 11:14:00,,5324.0,164.0,20,Unknown,13.5
470702,1970-08-21 11:29:00,,6477.0,28.0,1,Unknown,3.0
470702,1970-08-21 11:29:00,,3458.0,44.0,1,Unknown,5.9
470702,1970-08-21 11:29:00,,5587.0,101.0,1,Unknown,12.8
470702,1970-08-21 11:29:00,,5583.0,99.0,1,Unknown,12.8
471163,1971-01-02 16:05:00,,3705.0,71.0,5,116.0,4.0
471163,1971-01-02 16:05:00,,942.0,110.0,5,116.0,5.0
471163,1971-01-02 16:05:00,,1038.0,110.0,5,116.0,5.0
471163,1971-01-02 16:05:00,,3665.0,24.0,5,116.0,3.0
473050,1970-12-01 10:10:00,,5680.0,36.0,11,78.0,10.5
473050,1970-12-01 10:10:00,,5681.0,36.0,11,78.0,10.5
473386,1970-12-18 15:02:00,,4440.0,92.0,33,13.0,7.2
473386,1970-12-18 15:02:00,,3973.0,75.0,33,13.0,17.0
476354,1970-02-10 15:41:00,,3315.0,138.0,6,Unknown,14.0
476354,1970-02-10 15:41:00,,5263.0,71.0,6,Unknown,3.4
478542,1972-01-18 18:01:00,,6189.0,148.0,13,144.0,9.0
480656,1970-12-02 14:10:00,,5693.0,44.0,11,100.0,3.0
480656,1970-12-02 14:10:00,,5839.0,71.0,11,100.0,7.0
480656,1970-12-02 14:10:00,,3800.0,71.0,11,100.0,3.6
480656,1970-12-02 14:10:00,,349.0,36.0,11,100.0,24.5
481943,1970-12-19 18:30:00,,5899.0,44.0,29,20.0,2.5
481943,1970-12-19 18:30:00,,383.0,36.0,29,20.0,45.0
484532,1970-07-12 13:35:00,,6532.0,75.0,28,Unknown,15.3
484720,1971-06-01 14:20:00,,5678.0,36.0,9,Unknown,5.0
484929,1971-03-08 20:06:00,,3482.0,75.0,1,2.0,13.5
485520,1971-03-18 14:50:00,,4208.0,75.0,6,132.0,17.0
489198,1970-01-29 16:43:00,,5259.0,71.0,23,Unknown,8.5
496351,1971-06-13 11:43:00,,3476.0,92.0,32,30.0,24.5
